;0;1;2;3;4;5;6;7;8
[5.0, 269.0];35.76807252363108;46.796051733551344;48.93930063373184;50.89002618074052;37.831252984527964;43.188653878963954;58.628781299080856;41.24564183595169;43.83125523762438
[93.0, 181.0];-0.27351934085510465;3.001854772361788;56.533553817805846;4.643612359785294;-2.1998552672521385;-2.306989395720771;18.19666897208007;-2.1610382673520276;12.859255701371495
[5.0, 93.0];-2.905643184966035;-2.9462112011657062;1.0772196082555867;-2.816406309662689;-1.377820108870148;-2.8213441765204963;48.06140351347454;1.8510039221969854;-0.24627564924778733
[5.0, 181.0];5.787282117080011;-2.281650595580316;-2.528731544272903;1.9879879805355114;2.2795354249054407;1.8395737372613756;52.967353297300605;6.117806266469476;6.545865124811776
[5.0, 5.0];-3.4045031340076;-3.461393835998278;-3.370740691328933;-3.4429456764710005;-3.349129190084314;-3.3647148673988907;1.4818334305697651;-3.3114188588989175;-3.451511928010184
[93.0, 93.0];-2.7834496199991006;-2.7975032909362643;-2.7857411825858978;-2.7735604340625937;-2.8314494331736935;-2.8960949435212187;54.678903200657906;-2.77162796721512;1.8572316521632866
[181.0, 5.0];-3.0484575983259896;-0.8748628563561107;-3.073921561112726;-3.1627137091889126;-3.122437870248186;-3.0804529160018195;50.98629754657351;1.7272548685456734;-3.221399624023937
[93.0, 5.0];-3.2404403945808897;-3.175248641169817;-3.1282346697787524;-3.149420856239213;-3.1928319830663034;-3.2019365434819393;28.85619263581777;-3.171714135503376;-3.135213108788484
[181.0, 93.0];1.1842178430735788;12.562444036167983;-2.4073139953506475;-0.3309434297345555;3.2551412029367346;-0.7423149388322883;59.097894332938814;2.8079669021531397;-2.424911637604191
[269.0, 93.0];10.208105192164968;4.250452643813544;10.724430655151952;3.868134972985323;-2.439121455804427;1.0494809199906676;68.2845768211026;2.7564636049432756;-2.3247948323062615
[269.0, 5.0];-3.3412433974415445;6.123317586257274;-3.2421368599195084;-3.210225629677168;-3.2560360849344265;-3.2501743782700325;69.31640668121132;7.97691202083953;14.481480524652234
[357.0, 5.0];10.120648627864139;21.17499157927815;31.737797160202422;34.9179427301073;73.30322363806278;27.709068971724037;26.101384793696667;29.504323974870513;16.78695803222662
[357.0, 93.0];52.5929275333915;58.1641370789452;72.68274728856358;50.880053727528136;65.79910327488838;49.45437900214049;66.4618010340584;51.50646954312664;58.97853006921322
[181.0, 181.0];5.779342651433224;12.232793352167178;24.09275731653192;19.0910000947141;22.467123841132608;11.311080590488858;62.423487148071224;27.246351923393973;25.736828845862274
[445.0, 5.0];68.13813831952056;69.66159644336139;74.74322311923966;53.48168228528777;70.57198364847498;63.27768421883039;64.15817081985617;60.8721900370272;66.3697505010614
[533.0, 5.0];73.05888029583656;71.22155100775313;75.38361643545284;71.00629596215245;75.03556946713371;71.35318843809051;74.19265329817995;69.73033799071995;71.63910970450736
[93.0, 269.0];25.761685106501698;45.25231157338601;30.36857820887235;37.50549199667282;45.44519074625897;26.61924198451918;61.797957688334094;28.075483907740864;39.61004635716863
[5.0, 357.0];3.5946789800095944;3.809289342340674;12.5134633301694;11.152420791829588;4.162239831227214;7.129278182624026;53.501586843619336;6.241385525287303;-1.9042718777434116
[93.0, 445.0];-1.0019747936776704;1.338930551157833;0.08278748762152374;2.3674119814645733;59.94708375498873;5.1429497583169095;8.782851912425954;1.905387426268928;3.3484888272179436
[181.0, 357.0];35.567613606094426;44.313846846934986;44.45497077613665;43.51303320942727;44.94704679751985;44.011436693820414;62.39341904674359;35.24826493742639;40.047905782591016
[621.0, 5.0];75.9209981530921;74.02967760657987;75.53568474838461;70.9090952678188;76.27979022929404;73.1414815402541;76.14117834043229;73.28950107708982;74.59925519586562
[709.0, 5.0];76.66876991397979;76.11769436734416;76.37282335716466;76.56528456490024;76.8277691534185;75.34013573689506;77.29738385972206;76.15794827455566;77.03753146611848
[709.0, 93.0];62.95502908167762;70.62110356038282;65.39381076510485;69.10822443746602;77.18156430715433;64.47577893311747;72.69636773444951;65.59067311989162;70.37466482715766
[797.0, 5.0];77.39601235327994;78.5339737010098;77.27256118912501;76.57444953527268;77.51915895711743;76.88794354877658;77.50220952253406;77.0686837688232;77.27502189215605
[797.0, 93.0];78.24472017158999;79.1732893985336;78.81744890055879;76.39136997666907;77.53099624316465;77.4085302614355;79.79103114626558;77.93747528303025;78.85228008098662
[621.0, 93.0];68.85425722428822;70.55246226709649;76.4869347897675;70.10629223629812;67.76682666010146;65.95202990564282;68.60613182255952;63.40818816533426;70.81481085870438
[797.0, 181.0];78.24277249386068;74.6873515378295;79.81267544679186;79.81824995323952;79.11841096011523;75.96148892419878;78.9009616916836;81.64037209437679;79.99070178160562
[709.0, 269.0];77.25242105157888;77.16234588863843;77.46785931215993;81.1145637267222;79.07507804357489;75.93156400392158;67.59050200289094;90.10119813725147;78.83267786043233
[709.0, 181.0];74.34493012413135;79.16362481584748;76.55792662235118;74.58377908241503;76.6977120693584;74.44073151769;75.83128693789568;77.88637717742647;77.90196988354418
[181.0, 269.0];48.586526023623485;47.96086378514961;48.420728003531174;41.33294019030974;55.77090955261071;30.244768003035468;65.17969872441499;46.96591687610919;46.53019077414128
[269.0, 269.0];42.72820426189228;49.59534481024805;68.30084436667077;40.00080747295305;61.3355154721811;31.96346016050095;55.27727878162793;46.88899783349028;46.42844904222244
[445.0, 93.0];50.35386768540745;56.54926594868021;58.900205381564206;42.25819215655492;74.81359920739531;40.954132504239034;49.2013800936959;51.188096318468055;57.085455056903754
[445.0, 181.0];11.825458119050309;13.388069671800018;20.86505833409079;26.727587663546878;73.36448586897605;4.766569170296236;12.160051834912164;19.584222261479272;27.095883617520002
[357.0, 269.0];54.49151578624528;45.50359523866965;43.01756665386083;52.56979961163225;54.11715742752183;44.3479339345121;26.023494173756053;45.374139926447405;69.40346577984671
[797.0, 269.0];80.02593251511087;24.372200238894337;11.83907259730616;32.020620498348926;-0.1;32.65720645275905;34.98844739222862;18.216131839672666;10.382404630700597
[357.0, 181.0];63.261234571276084;52.12718386387433;62.352270354709745;43.253102486286046;73.72553132639293;42.771348876486805;56.84103321507845;51.75983458272474;61.90155190871111
[93.0, 357.0];45.78559111645168;45.1085221190573;52.201221524283596;42.91384401407974;61.718218931294395;42.05754272056239;46.920540719598904;21.35040125467315;50.01874091316012
[181.0, 445.0];5.190705527995561;-0.5966211540161316;59.568646643519145;3.46836155762345;-0.6344483358903423;13.90349105292241;-0.5695174281092632;-0.6011261941790318;3.815915208348427
[269.0, 357.0];48.95958347834008;53.843673198120015;51.66324853706058;47.46642905764035;70.84257235363705;44.63839839216801;45.75708084879986;48.92693252863655;49.98025715280502
[621.0, 181.0];74.37639559749;75.14189846781989;76.48673094984822;70.94523024491976;76.27301927752151;71.88229312320668;77.3557348690307;66.01590684566801;73.36850147474613
[533.0, 93.0];17.277589081669287;9.004868251957024;14.502968611177996;29.242442795935624;26.213510983676397;-0.8807823332190745;75.68297740028184;20.171251008902935;12.911858428282745
[269.0, 181.0];18.995626602878644;19.059148093896777;71.22916733276682;3.924979217060699;22.038936928516367;14.936497724244587;22.77687986635377;19.021623177315796;9.92616841771653
[709.0, 357.0];6.830808106216883;6.640701434004509;0.0;0.0;72.40039220173458;-0.11299999999999999;-0.1;4.08513938924142;-0.1
[5.0, 445.0];3.367389106427478;-0.7336001391931974;-1.1368003391501598;-1.1876049242930307;-1.086533397757003;-1.1196971335756714;33.63187387381926;-1.0917342510435775;-1.1542890949355804
[533.0, 181.0];1.7011381956770322;0.0;0.0;6.908188387009144;0.0;12.660320432027614;73.58818817902693;-0.17486079443726146;-0.2848194882026121
[797.0, 357.0];-0.12399499191013374;6.462735585165321;-0.1;-0.044187153608933605;69.02082262196782;8.749999250404777;-0.1;-0.1;0.0
goal;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[93.0, 533.0];44.22486683052467;-0.442386303436908;-0.3728;-0.4397102363037169;-0.3894733512197321;1.4027718676222316;-0.389;1.686140840782734;-0.5334339875553965
[181.0, 533.0];24.039069130650038;-0.30090000000000006;-0.2679115886414545;0.28498382404602696;-0.2728510676363852;-0.2411798969704947;-0.281;-0.2624758035376834;-0.3417322865776582
[5.0, 533.0];-0.6134576576100788;-0.7952756651573654;-0.6079609783342664;-0.7305014680967152;-0.6295690690225516;-0.6776824308727156;3.1679130352559204;-0.6427683628792522;-0.7532980761111366
[621.0, 357.0];62.81072399982766;74.30738142165791;72.56725145159625;44.346848655741;65.56356701045996;41.277381979534994;52.731616725665106;37.52471842016054;85.40724255059138
[269.0, 445.0];26.972239380468277;39.097584232174036;37.67600756205744;40.47592663785774;50.941927994804445;37.38849097470836;36.68089387152499;19.874859952438413;64.18900152186691
[269.0, 533.0];-0.2109;-0.2280245172772862;-0.14530001676154286;-0.1673707961685031;-0.2;-0.157728869841;3.3469780878094064;-0.14056456035720707;27.642114338604898
[357.0, 445.0];-0.15494936900841974;34.33237148224298;1.8074820889460859;-0.17106708704331672;-0.13437531052555823;-0.12047553480946137;-0.19;4.6142179165620005;4.402998880998833
[445.0, 533.0];0.0;0.0;0.0;0.07054584416558594;1.1103295984057424;0.0;0.0;0.0;-0.1
[445.0, 445.0];-0.1;0.0;-0.1;0.0;0.0;0.0;0.0;0.0;0.0
[445.0, 357.0];0.0;0.0;-0.1;-0.1;6.654697175557448;29.25078575659334;0.0;-0.1;5.558128358105241
[357.0, 357.0];1.3635936897811196;-0.2;-0.16281478856709236;60.86814756134687;7.027356903937965;9.669356853934962;-0.1872711653094509;-0.119;-0.3588735407788438
[445.0, 269.0];-0.4116901345018759;4.809663481742942;-0.1;-0.11000000000000001;-0.1;58.04608594831424;2.916551737132232;-0.15950173648910168;-0.1
[797.0, 445.0];-0.1;0.0;0.0;0.4076683142807788;0.0;0.0;0.0;0.0;0.0
[709.0, 445.0];0.0;0.0;0.0;0.0;0.0;0.0;-0.1;0.0;4.469014828527009
[533.0, 269.0];0.0;6.769275118883273;51.565308012248224;0.0;0.0;0.0;0.0;0.0;-0.3963959518672722
[533.0, 357.0];0.0;0.0;-0.06855169227654749;2.3507699194424183;0.0;0.0;46.53934224501658;0.0;0.0
[357.0, 533.0];0.0;0.0;-0.08600669633348423;0.0;-0.08420545595438056;40.41825584070247;-0.1;0.0;0.0
[797.0, 533.0];0.0;0.0;0.0;0.0;-0.1;0.0;0.0;0.0;-0.1
[621.0, 445.0];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.30197338026649456
